Name                                                                         Stmts   Miss  Cover
------------------------------------------------------------------------------------------------
config/__init__.py                                                               0      0   100%
config/asgi.py                                                                   4      4     0%
config/settings.py                                                              25      0   100%
config/urls.py                                                                   7      1    86%
config/wsgi.py                                                                   4      4     0%
lms/__init__.py                                                                  0      0   100%
lms/admin.py                                                                     1      0   100%
lms/apps.py                                                                      3      0   100%
lms/migrations/0001_initial.py                                                   6      0   100%
lms/migrations/0002_alter_course_options_alter_lesson_options_and_more.py        6      0   100%
lms/migrations/0003_subscription.py                                              6      0   100%
lms/migrations/__init__.py                                                       0      0   100%
lms/models.py                                                                   28      3    89%
lms/paginators.py                                                                9      0   100%
lms/serializers.py                                                              34      5    85%
lms/tests.py                                                                   108      0   100%
lms/urls.py                                                                      6      0   100%
lms/validators.py                                                                7      0   100%
lms/views.py                                                                    83     23    72%
main.py                                                                          4      4     0%
manage.py                                                                       11      2    82%
users/__init__.py                                                                0      0   100%
users/admin.py                                                                   1      0   100%
users/apps.py                                                                    3      0   100%
users/management/__init__.py                                                     0      0   100%
users/management/commands/__init__.py                                            0      0   100%
users/management/commands/create_test_data.py                                   29     29     0%
users/migrations/0001_initial.py                                                 7      0   100%
users/migrations/0002_payment.py                                                 6      0   100%
users/migrations/0003_alter_payment_options_alter_user_options_and_more.py       6      0   100%
users/migrations/__init__.py                                                     0      0   100%
users/models.py                                                                 23      2    91%
users/permissions.py                                                            18      7    61%
users/serializers.py                                                            38      9    76%
users/tests.py                                                                   1      0   100%
users/urls.py                                                                    4      0   100%
users/views.py                                                                  42     10    76%
------------------------------------------------------------------------------------------------
TOTAL                                                                          530    103    81%
